	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1358477	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza
OTU1362564	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza
OTU28867	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Menispora	Menispora
OTU29801	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Menispora	Menispora
OTU28285	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta
OTU416989	Fungi	Ascomycota	Sordariomycetes	Coronophorales	unclassified_Coronophorales	unclassified_Coronophorales	unclassified_Coronophorales
OTU95925	Fungi	Ascomycota	Sordariomycetes	Coronophorales	unclassified_Coronophorales	unclassified_Coronophorales	unclassified_Coronophorales
OTU104454	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU108781	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU11	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU1308122	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU22	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU434710	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU59626	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU671631	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU679384	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU71057	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU73833	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU81608	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU84376	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU84876	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis
OTU180	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectria	Bionectria
OTU182	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectria	Bionectria
OTU87064	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectria	Bionectria
OTU124586	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Hydropisphaera	Hydropisphaera
OTU14456	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Hydropisphaera	Hydropisphaera
OTU14694	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Hydropisphaera	Hydropisphaera
OTU31517	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Hydropisphaera	Hydropisphaera
OTU1265337	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	unclassified_Cordycipitaceae	unclassified_Cordycipitaceae
OTU377100	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU454739	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU462572	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU46	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU478220	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU520212	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU78342	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU958181	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_incertae_sedis	Stachybotrys	Stachybotrys
OTU1052090	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU107279	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU1097980	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU122921	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU1233459	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU1239593	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU1313176	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU1366717	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU177	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU179830	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU196443	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU264	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU265	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU284914	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU289911	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU297980	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU305610	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU309104	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU331148	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU341663	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU344027	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU36	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU389449	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU44198	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU444352	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU44	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU53	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU540446	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU541745	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU569019	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU56	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU57596	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU63	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU64	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU66249	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU67048	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU673675	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU717931	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU734453	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU77	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU820363	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU838980	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU848536	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU85513	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU856559	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU857117	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU86424	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU891052	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU91342	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU91919	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU942463	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU99	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella
OTU29633	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU316	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU375991	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU404712	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU60540	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU60	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU657508	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU779505	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU178	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU24094	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia
OTU987411	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	unclassified_Niessliaceae	unclassified_Niessliaceae
OTU226	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU254	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU706351	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU756796	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU93816	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU100039	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU100069	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU10022	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1002337	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1002572	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU100374	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU100429	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU100541	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU100835	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU100899	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU101016	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1011213	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU101324	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1013681	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1014586	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1016186	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1016400	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU101686	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU101749	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1018041	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU101893	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU101960	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU101971	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU102040	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU102169	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1023193	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU10233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU102407	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU102537	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1026630	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1029171	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU102992	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU103029	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1030729	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1034461	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU103451	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU103894	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU103983	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU104629	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1047160	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU104809	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1050481	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU105131	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU105149	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1059527	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1060241	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU106277	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU106332	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU106352	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU106453	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU106477	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1068844	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1068870	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1071751	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU107549	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1075743	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1078935	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU108111	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1081406	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU108208	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU108214	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1085611	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU108620	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU108659	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1086868	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU108919	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1091596	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU109357	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU109491	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU109573	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU109582	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU109620	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU109673	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU109746	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1100829	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1102217	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU110321	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU110529	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU110557	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU110565	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU110721	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU111452	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU112048	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU112648	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113374	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113400	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113415	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113628	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113629	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113641	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113803	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU113988	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU114397	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU114419	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU114565	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU115009	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU1150267	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU115215	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU11522	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU115354	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU115440	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU115536	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU115838	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU115872	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU116051	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU116164	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU116422	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU117018	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU117023	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU117102	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU117575	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU117606	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU117803	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
OTU118075	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
